id,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,row_id
9032626,257087080,2023-05-24T22:00:09Z,29.73068,-95.27552,0,15.6,164,ORION,IMO9495935,LAIS8,70,5,189,32,10.5,70,A,1
9034791,367140970,2023-05-24T22:00:09Z,29.80386,-93.34517,0,106.8,273,CAMERON NO II,NA,WDD4160,60,0,62,15,4.16,69,A,1
9035716,367598990,2023-05-24T22:00:09Z,29.69156,-91.09839,0,277.6,511,MISS ALLIE,NA,WDH2572,60,0,29,7,2.47,60,A,1
9046015,368269780,2023-05-24T22:00:09Z,29.3254,-89.04289,6.6,294.6,303,GO GLORY,IMO8998112,WDN3240,70,0,43,12,3,70,A,1
9030753,566690000,2023-05-24T22:00:09Z,27.77134,-96.52096,0.1,29.8,313,EAGLE SAN PEDRO,IMO9594858,9V9334,80,3,274,49,17.2,80,A,1
9033325,367090310,2023-05-24T22:00:10Z,29.25946,-89.3649,0,335.4,511,SUN OF MAN,NA,WDC8620,60,0,33,7,2.57,67,A,1
9034352,538009441,2023-05-24T22:00:11Z,24.64632,-79.80549,11.6,232,229,CELSIUS PORTSMOUTH,IMO9884837,V7A4748,80,0,183,32,8.6,80,A,1
9033831,338601000,2023-05-24T22:00:12Z,29.1462,-90.21104,0,248,332,FAST SERVER,IMO9718246,WDH5198,60,0,54,19,2.3,60,A,1
9036249,311070400,2023-05-24T22:00:14Z,23.68752,-82.5336,11.3,285.6,285,AFRICAN OSPREY,IMO9612143,C6ZW9,70,0,180,30,10.1,70,A,1
9043143,338196024,2023-05-24T22:00:14Z,25.99125,-80.1201,0,360,511,GRAND PRINCESS,NA,WDH7485,69,0,39,12,2.5,69,A,1
9034914,367745620,2023-05-24T22:00:16Z,29.56479,-93.34242,13.2,164,511,MISS COLETTE,IMO8977780,WDI9137,60,8,41,8,2,67,A,1
9037328,477176300,2023-05-24T22:00:16Z,29.88994,-89.90783,0,24.6,347,DARYA NOOR,IMO9520912,VRRW2,70,1,190,32,9.2,70,A,1
